x   y   z   qf
0.69    7.65    0.90    66
0.69    7.66    0.89    63
0.71    7.66    0.91    68
0.71    7.66    0.90    65
0.70    7.67    0.90    64
0.70    7.68    0.89    64
0.70    7.67    0.89    65
0.69    7.68    0.87    62
0.69    7.68    0.88    65
0.68    7.67    0.89    66
0.68    7.67    0.91    65
0.69    7.67    0.91    66
0.68    7.67    0.92    66
0.68    7.66    0.91    65
0.68    7.67    0.91    63
0.70    7.68    0.85    61
0.70    7.68    0.85    64
0.70    7.67    0.88    67
0.70    7.68    0.87    63
0.70    7.68    0.87    64
0.71    7.68    0.90    67
